Name,VotingPopulation14,ElectoralVotes,Clinton16,Trump16,Johnson16,Stein16,McMuffin16,Other16,Obama12,Romney12,Johnson12,Stein12,Other12
Alabama,3741806,9,729547,1318255,44467,9391,0,21712
Alaska,550189,3,116454,163387,18725,5735,0,14307
Arizona,5109792,11,1161167,1252401,106327,34345,17449,1476
Arkansas,2259350,6,380494,684872,29829,9473,13255,12712
California,29649348,55
Colorado,4109494,9
Connecticut,2821247,7,897572,673215,48676,22841,2108,508
Delaware,731367,3,235603,185127,14757,6103,0,0
District of Columbia,543588,3,282830,12723,4906,4258,0,6551
Florida,15839713,29,4504975,4617886,207043,64399,0,25736
Georgia,7604061,16,1877963,2089104,125306,0,0,0
Hawaii,1111117,4,266891,128847,15954,12737,0,4508
Idaho,1203384,4,189765,409055,28331,8496,46476,8132
Illinois,9892106,20,3090729,2146015,209596,76802,11655,1627
Indiana,5014928,11
Iowa,2381172,6
Kansas,2181355,6,427005,671018,55406,23506,6520,947
Kentucky,3400843,8,1202971,628854,53752,13913,22780,1879
Louisiana,3536183,8,780154,1178638,37978,14031,8547,9684
Maine,1071112,4
Maryland,4625863,10
Massachusetts,5354940,11,1995196,1090893,138018,47661,2719,50559
Michigan,7686087,16,
Minnesota,4175347,10,1367716,1322951,112972,36985,53076,51113
Mississippi,2262810,6
Missouri,4670966,10
Montana,798555,3
Nebraska,1414894,5,284494,495961,38946,8775,0,16051
Nevada,2175874,6,539260,512058,37384,0,0,36683
New Hampshire,1059672,4,348526,345790,30777,6496,0,678
New Jersey,6926094,14,2148278,1601933,72477,37772,0,13595
New Mexico,1583623,5,385234,319666,74541,9879,5825,3173
New York,15517321,29
North Carolina,7656415,15
North Dakota,570955,3,93758,216794,21434,3780,0,8594
Ohio,8955859,18,2394164,2841005,174498,46271,12574,27975
Oklahoma,2925352,7,420357,949136,83481,0,0,0
Oregon,3112217,7
Pennsylvania,10086316,20
Rhode Island,842321,4,252525,180543,14746,6220,0,10110
South Carolina,3747734,9,855373,1155389,49204,13034,21016,9011
South Dakota,642768,3
Tennessee,5054826,11
Texas,19841344,38,3877868,4685047,283492,71558,42366,8895
Utah,2038787,6,310674,515211,39608,9438,243685,12701
Vermont,504976,3,178573,95369,10078,6758,0,24289
Virginia,6457174,13,1981473,1769443,118274,27638,54054,31870	
Washington,5458809,12
West Virginia,1470179,5
Wisconsin,4457375,10
Wyoming,445830,3,55973,174419,13287,2515,0,9655
